length_inc,width_inc,height_inc,weight_kg,Expiry Date,Material Properties,Storage Requirements,Volume,volume_cm3,density
41.21,77.32,114.74,31.23,2025-10-29,Cotton,Refrigerated,365602.625128,365602.625128,8.542061203490036e-05
41.38,86.73,76.12,8.56,2026-07-15,Metal,Cool & Dry Place,273186.1088880001,273186.1088880001,3.1333950451739115e-05
49.15,95.04,134.75,1.25,2025-10-24,Rubber,Cool & Dry Place,629446.356,629446.356,1.9858721685887397e-06
68.16,89.65,123.38,35.43,,Metal,Away from Sunlight,753918.91872,753918.91872,4.699444346104603e-05
82.42,78.86,82.26,49.32,,Metal,Freeze,534660.485112,534660.485112,9.224545552430063e-05
10.69,93.43,135.77,5.47,2026-03-24,Leather,Dry Place,135602.55485900005,135602.55485900003,4.033847301540685e-05
28.0,39.68,186.42,14.79,,Paper,Dry Place,207120.0768,207120.07679999998,7.140785301215184e-05
81.45,17.48,57.2,24.99,,Paper,Freeze,81438.2712,81438.2712,0.0003068581838952396
13.96,61.25,130.11,39.25,,Glass,Room Temperature,111250.55550000002,111250.55550000002,0.00035280722710638503
13.96,95.14,134.57,16.97,2026-12-21,Paper,Cool & Dry Place,178729.737608,178729.737608,9.494782584652783e-05
41.35,38.2,62.12,5.66,,Wood,Refrigerated,98122.8884,98122.88840000001,5.768276996623756e-05
54.15,90.61,186.77,13.27,,Paper,Room Temperature,916392.888255,916392.8882550001,1.448068854535613e-05
20.07,98.54,126.21,16.53,,Wood,Away from Sunlight,249605.239338,249605.239338,6.622457142262185e-05
90.97,37.03,123.73,37.59,,Metal,Cool & Dry Place,416799.241243,416799.241243,9.01873042952218e-05
49.65,45.08,135.42,47.12,2026-03-25,Leather,Dry Place,303100.02323999995,303100.02323999995,0.00015546023222403235
68.85,30.76,115.63,44.83,2025-11-27,Cotton,Freeze,244884.22038,244884.22037999998,0.0001830661033627846
84.42,5.69,108.7,10.82,,Plastic,Room Temperature,52214.02326,52214.02326,0.000207224023824438
8.24,97.09,91.11,42.89,2026-05-08,Metal,Away from Sunlight,72889.967976,72889.967976,0.000588421166738914
39.21,88.18,94.86,45.91,2026-02-07,Ceramic,Refrigerated,327982.03570800007,327982.03570800007,0.00013997717863082392
5.41,28.4,24.55,8.24,,Silk,Away from Sunlight,3771.9602,3771.9602000000004,0.0021845405473790522
95.23,39.94,127.15,8.66,2026-05-20,Leather,Freeze,483613.27033,483613.27033,1.7906870078421818e-05
45.13,18.59,160.28,1.55,,Glass,Away from Sunlight,134469.58267600002,134469.58267600002,1.152677036065973e-05
54.06,41.78,31.03,43.09,,Glass,Room Temperature,70085.189604,70085.189604,0.0006148231922246339
8.64,60.06,146.51,23.65,,Plastic,Freeze,76026.734784,76026.734784,0.0003110747826694406
60.86,62.81,170.16,9.25,2026-06-07,Metal,Freeze,650456.440656,650456.440656,1.422078316369835e-05
96.65,22.43,162.77,0.56,2025-10-17,Rubber,Dry Place,352862.490815,352862.490815,1.5870204812831717e-06
42.91,18.02,130.2,8.13,,Plastic,Freeze,100675.61363999998,100675.61363999998,8.075441217643421e-05
85.9,93.07,128.37,7.35,2026-01-28,Paper,Freeze,1026281.30781,1026281.30781,7.161779079543304e-06
7.62,46.5,62.78,16.23,,Silk,Refrigerated,22244.8374,22244.8374,0.0007296074908598793
96.38,21.32,173.1,19.2,,Rubber,Cool & Dry Place,355689.61895999993,355689.61895999993,5.3979646794693745e-05
72.18,53.9,167.23,26.85,2025-08-30,Wood,Dry Place,650608.64946,650608.64946,4.1269048639739555e-05
18.22,51.49,162.75,6.11,,Rubber,Room Temperature,152683.55445,152683.55445,4.001740738882831e-05
60.6,38.08,127.94,0.4,,Plastic,Freeze,295240.48512,295240.48512,1.354827742670253e-06
98.69,46.78,23.13,3.05,2026-02-22,Cotton,Refrigerated,106784.691966,106784.691966,2.8562146351193417e-05
21.2,99.84,131.7,20.69,,Leather,Freeze,278757.2736,278757.2736,7.422227851779362e-05
52.63,34.28,66.07,20.67,,Leather,Freeze,119200.613348,119200.613348,0.00017340514800586647
51.03,61.01,93.89,40.19,,Plastic,Away from Sunlight,292311.520767,292311.520767,0.00013749030450303475
46.11,52.38,7.75,16.89,2025-08-10,Plastic,Dry Place,18718.12395,18718.12395,0.0009023340183619202
70.82,80.31,65.55,22.14,,Silk,Cool & Dry Place,372819.17781,372819.17780999996,5.938535707860828e-05
60.98,80.24,139.22,34.41,,Metal,Dry Place,681208.3605439999,681208.3605439999,5.051317921659216e-05
38.11,26.36,96.81,41.38,2026-07-28,Metal,Dry Place,97253.351076,97253.35107599999,0.00042548662377364275
54.33,95.36,134.77,15.07,2025-09-28,Wood,Freeze,698231.0789760001,698231.0789760001,2.158311260235094e-05
93.22,86.05,168.24,8.51,,Wood,Cool & Dry Place,1349550.78744,1349550.7874399999,6.3058019595860145e-06
41.04,54.75,13.86,25.6,,Glass,Freeze,31142.5884,31142.5884,0.000822025442175513
47.38,42.54,8.46,47.02,2026-12-16,Cotton,Away from Sunlight,17051.512392,17051.512392,0.002757526659163689
12.18,50.19,62.25,17.34,2026-09-22,Leather,Freeze,38054.30894999999,38054.30894999999,0.00045566456147668404
48.7,30.73,72.92,26.75,,Silk,Away from Sunlight,109128.49892,109128.49892000001,0.00024512387015980037
12.96,35.51,158.67,16.73,,Glass,Cool & Dry Place,73021.457232,73021.457232,0.0002291107385990163
90.3,77.73,135.95,6.18,,Metal,Dry Place,954235.63305,954235.63305,6.476387787204107e-06
86.66,6.03,189.11,35.71,2026-04-11,Ceramic,Dry Place,98821.283778,98821.28377800001,0.00036135940188979716
88.85,82.84,66.71,40.07,2027-04-01,Glass,Refrigerated,491007.88114,491007.88113999995,8.160765140259517e-05
80.15,81.92,154.03,20.92,2025-06-17,Glass,Cool & Dry Place,1011343.72864,1011343.7286400001,2.068535099152894e-05
83.83,30.82,199.37,42.77,2026-04-14,Wood,Dry Place,515100.4264220001,515100.42642200005,8.303235215138484e-05
42.77,10.31,139.44,17.36,2026-09-22,Rubber,Dry Place,61487.28112800001,61487.28112800001,0.00028233481268851585
50.09,65.09,155.88,30.28,,Rubber,Freeze,508224.62062800006,508224.62062800006,5.957995494705429e-05
60.51,12.91,56.95,29.69,2026-02-27,Rubber,Cool & Dry Place,44488.434495,44488.434495,0.0006673644585838781
58.79,20.84,190.5,32.74,,Silk,Refrigerated,233397.4758,233397.47580000001,0.00014027572443866165
13.82,82.44,24.58,45.96,,Leather,Refrigerated,28004.505264,28004.505263999996,0.0016411645043085954
96.91,78.62,83.26,9.83,2026-04-10,Metal,Room Temperature,634363.285292,634363.285292,1.5495852657165068e-05
71.37,79.77,135.89,6.79,2027-03-22,Silk,Freeze,773646.896061,773646.896061,8.776613768595313e-06
10.86,82.01,72.7,7.3,2026-12-21,Glass,Refrigerated,64748.69922,64748.69922,0.00011274357767708062
71.18,49.61,179.93,19.01,,Metal,Dry Place,635375.9772140001,635375.9772140001,2.9919292956833447e-05
67.41,39.57,87.8,17.3,2025-12-29,Metal,Freeze,234198.92286,234198.92286,7.386882821122809e-05
99.15,44.13,106.99,16.16,2026-02-04,Silk,Dry Place,468133.62160500005,468133.62160500005,3.452005849226403e-05
65.3,72.95,121.22,42.0,,Silk,Away from Sunlight,577447.8347,577447.8347,7.273384274065232e-05
34.82,69.1,60.14,15.34,2025-11-07,Wood,Refrigerated,144700.56868,144700.56868,0.00010601202289621852
54.58,25.01,124.03,19.91,2026-09-28,Cotton,Away from Sunlight,169306.630574,169306.630574,0.00011759728448023068
95.02,21.88,74.98,13.52,2026-03-22,Leather,Room Temperature,155886.23924799997,155886.23924799997,8.672991320607192e-05
67.13,10.07,193.26,47.08,2026-08-15,Silk,Room Temperature,130643.586066,130643.58606599999,0.000360369777175403
41.59,22.23,172.34,4.51,2026-09-27,Paper,Freeze,159336.20593800003,159336.20593800003,2.830492902382089e-05
55.17,89.87,69.06,48.6,2026-12-09,Paper,Freeze,342408.31277400005,342408.31277400005,0.00014193580642441205
49.35,25.17,95.79,25.52,2025-08-05,Leather,Freeze,118984.54270500004,118984.54270500003,0.00021448164122689513
26.2,96.97,67.8,11.73,2026-05-09,Leather,Dry Place,172253.6292,172253.6292,6.809725899232317e-05
19.54,65.95,44.76,8.64,,Plastic,Cool & Dry Place,57680.55588,57680.55588,0.0001497905120397047
19.18,62.62,112.04,9.96,,Plastic,Freeze,134565.821264,134565.821264,7.401582293664171e-05
44.06,84.9,196.47,3.13,2026-04-11,Ceramic,Freeze,734934.1501800001,734934.1501800001,4.258884961643707e-06
20.52,86.81,91.64,9.04,2026-10-11,Cotton,Cool & Dry Place,163242.107568,163242.107568,5.53778687048273e-05
52.04,74.12,43.76,36.16,2025-05-30,Glass,Freeze,168791.282048,168791.282048,0.00021422907368946344
26.5,16.97,195.63,44.22,,Glass,Cool & Dry Place,87975.78915,87975.78915,0.0005026382875020792
57.92,8.96,125.06,38.82,2026-03-15,Glass,Away from Sunlight,64901.537792,64901.537792,0.0005981368288130931
77.5,89.46,126.13,18.09,2027-03-18,Wood,Room Temperature,874478.2094999999,874478.2094999999,2.0686621808842227e-05
68.46,92.57,166.9,7.39,,Wood,Freeze,1057702.41318,1057702.41318,6.986842336666172e-06
31.77,92.96,63.47,15.32,2026-01-12,Ceramic,Room Temperature,187448.439024,187448.439024,8.172914151628918e-05
39.14,35.43,172.53,14.94,2026-06-19,Leather,Cool & Dry Place,239252.561406,239252.561406,6.244447253648225e-05
76.65,62.0,89.67,18.81,2025-06-13,Plastic,Room Temperature,426138.741,426138.74100000004,4.4140553745147515e-05
45.86,93.63,31.9,10.82,2026-04-07,Leather,Room Temperature,136974.51041999998,136974.51041999998,7.899279922098664e-05
65.05,14.71,162.75,3.45,,Paper,Refrigerated,155733.11512499998,155733.11512499998,2.2153284465098127e-05
77.75,63.68,190.33,1.74,2025-11-03,Cotton,Refrigerated,942346.6696,942346.6696,1.846454236144944e-06
27.9,45.18,138.86,11.13,,Wood,Freeze,175036.08492,175036.08492,6.358688841267761e-05
17.1,68.87,171.07,44.78,,Paper,Freeze,201465.20439000003,201465.20439000003,0.00022227163313677758
25.8,38.07,196.32,17.37,2026-09-19,Wood,Cool & Dry Place,192826.68192,192826.68192,9.008089454760453e-05
81.81,19.21,120.55,35.57,2025-12-16,Plastic,Cool & Dry Place,189452.775555,189452.775555,0.0001877512741409992
64.48,70.3,30.25,17.6,,Leather,Freeze,137121.556,137121.556,0.00012835326927007742
41.61,5.55,53.85,3.43,,Ceramic,Freeze,12435.876675,12435.876675,0.0002758148934441729
61.33,85.54,47.78,1.11,2027-02-25,Cotton,Away from Sunlight,250661.916596,250661.916596,4.428275404073541e-06
24.77,88.74,112.69,12.33,,Wood,Away from Sunlight,247702.739562,247702.73956199997,4.97774066681802e-05
48.56,51.44,62.0,16.9,,Metal,Room Temperature,154871.4368,154871.4368,0.00010912276885391431
7.58,15.97,136.26,39.89,,Plastic,Refrigerated,16494.627276,16494.627276,0.002418363224129394
75.66,85.77,142.37,34.87,,Cotton,Freeze,923889.926934,923889.926934,3.77425913882607e-05
68.3,38.42,197.82,24.81,2026-03-23,Plastic,Cool & Dry Place,519096.6925199999,519096.6925199999,4.7794563821159604e-05
85.18,40.31,14.99,36.27,2025-08-13,Wood,Room Temperature,51469.750942000006,51469.750942000006,0.0007046857491281
76.43,19.85,94.05,40.17,2027-03-20,Cotton,Refrigerated,142686.59377500002,142686.59377500002,0.0002815260981234395
44.51,44.53,9.11,23.1,,Paper,Cool & Dry Place,18056.296033,18056.296033,0.001279332148619077
87.44,42.95,175.55,42.33,2025-05-28,Leather,Away from Sunlight,659286.4514000001,659286.4514000001,6.420577870228017e-05
91.48,30.4,85.37,30.14,2025-08-31,Rubber,Room Temperature,237413.28704,237413.28704000002,0.00012695161410625655
44.61,72.6,115.12,42.96,,Paper,Freeze,372837.53232,372837.53232,0.00011522445107036106
53.76,41.58,22.66,15.07,2027-01-03,Plastic,Dry Place,50652.822528,50652.822528,0.0002975155035372326
62.79,20.33,163.99,49.33,2026-08-11,Glass,Freeze,209336.629593,209336.629593,0.00023564915560124
64.67,77.7,24.39,26.96,2026-12-30,Plastic,Dry Place,122556.31101,122556.31101,0.0002199805116343637
27.3,92.66,50.55,26.22,2027-03-15,Ceramic,Away from Sunlight,127872.18989999998,127872.18989999998,0.00020504849428562108
12.15,17.82,71.32,1.2,,Silk,Refrigerated,15441.707159999998,15441.707159999998,7.771161488598001e-05
98.01,37.44,21.01,3.64,,Plastic,Room Temperature,77096.077344,77096.077344,4.721381586975492e-05
24.11,40.39,163.8,9.62,,Metal,Freeze,159508.91502,159508.91502000001,6.031010867821273e-05
13.15,70.86,44.23,22.71,,Plastic,Cool & Dry Place,41213.91207,41213.91207,0.0005510275258856299
54.06,65.46,72.55,40.53,,Wood,Dry Place,256737.58938,256737.58937999996,0.00015786546916591606
10.24,10.92,159.95,31.84,,Metal,Cool & Dry Place,17885.73696,17885.73696,0.00178018943648828
47.98,76.4,183.9,4.39,2025-08-29,Paper,Cool & Dry Place,674117.0808,674117.0808,6.512221875152937e-06
86.24,98.73,163.44,18.09,,Paper,Freeze,1391605.8266879998,1391605.8266879998,1.2999370693247181e-05
41.88,17.3,31.05,38.34,,Metal,Freeze,22496.470200000003,22496.470200000003,0.001704267365464294
37.03,78.54,118.17,21.84,2026-12-14,Leather,Freeze,343678.088754,343678.088754,6.354783943073184e-05
91.74,71.73,40.3,0.35,,Cotton,Refrigerated,265194.56106,265194.56106,1.3197857399526864e-06
38.65,51.65,63.81,32.3,,Cotton,Cool & Dry Place,127382.148225,127382.148225,0.000253567712980843
80.18,42.86,40.09,28.8,,Leather,Dry Place,137769.87833200002,137769.87833200002,0.00020904424355080946
56.49,72.02,28.6,18.08,,Leather,Away from Sunlight,116356.52028,116356.52028,0.00015538450235957847
64.27,53.98,77.63,32.81,2027-01-08,Rubber,Cool & Dry Place,269321.33979799994,269321.33979799994,0.00012182473184118497
19.36,16.98,155.58,23.87,2026-09-17,Glass,Dry Place,51144.249024,51144.249024000004,0.00046671914155585193
19.69,68.13,120.75,41.86,,Leather,Refrigerated,161983.673775,161983.673775,0.0002584211051920254
38.63,74.38,117.82,23.12,,Plastic,Dry Place,338532.135308,338532.13530799997,6.829484586142816e-05
76.42,66.83,80.23,23.07,,Rubber,Dry Place,409746.532178,409746.53217799996,5.630310005888726e-05
13.67,72.22,55.33,20.79,2025-09-05,Plastic,Refrigerated,54624.398642,54624.398642,0.0003805991556310669
54.42,15.65,20.74,23.84,,Plastic,Dry Place,17663.69802,17663.69802,0.0013496607546736128
40.82,46.33,50.87,24.17,,Silk,Refrigerated,96204.865822,96204.86582199999,0.0002512346937286912
50.97,31.67,59.03,23.19,,Plastic,Dry Place,95287.400697,95287.400697,0.00024336900608445402
40.94,98.05,121.48,13.08,,Leather,Away from Sunlight,487641.00716,487641.00716,2.6823010796769024e-05
73.97,70.81,43.6,27.54,,Cotton,Away from Sunlight,228368.76452000003,228368.76452000003,0.00012059442567763293
79.26,93.48,158.0,16.88,2027-01-06,Cotton,Refrigerated,1170657.5184000002,1170657.5184000002,1.4419247076694806e-05
71.74,9.67,67.19,25.04,2026-01-07,Wood,Dry Place,46611.436502,46611.436502,0.0005372072152061992
88.66,40.46,11.1,31.57,,Cotton,Away from Sunlight,39817.73796,39817.73796,0.0007928627194170223
32.9,44.03,109.8,5.46,,Ceramic,Refrigerated,159054.85259999998,159054.85259999998,3.4327780075538546e-05
78.65,43.45,194.67,42.37,2026-06-19,Leather,Away from Sunlight,665254.0644750001,665254.0644750001,6.368995285047557e-05
44.17,6.77,118.37,29.42,2026-02-20,Paper,Cool & Dry Place,35396.287633,35396.287633,0.0008311606094129403
77.97,98.77,182.57,48.73,2026-07-29,Ceramic,Away from Sunlight,1405989.261033,1405989.261033,3.4658870697346144e-05
88.49,20.67,121.85,38.87,2027-01-01,Silk,Room Temperature,222874.409355,222874.409355,0.00017440315428087966
72.55,57.8,174.48,46.13,,Rubber,Room Temperature,731662.6871999998,731662.6871999998,6.304817890404514e-05
11.94,68.87,57.6,40.64,,Paper,Freeze,47364.92928,47364.929280000004,0.0008580188045833391
97.22,60.38,59.56,3.56,2026-02-18,Silk,Cool & Dry Place,349625.752816,349625.752816,1.0182316294856993e-05
44.44,12.06,140.91,40.86,2025-08-25,Glass,Freeze,75520.207224,75520.207224,0.0005410472442005544
56.96,47.03,130.59,42.55,2025-10-16,Plastic,Freeze,349828.252992,349828.252992,0.00012163111365671498
13.92,57.13,112.03,41.97,,Leather,Freeze,89091.812688,89091.812688,0.0004710870587736177
7.21,82.56,144.78,9.7,2026-12-08,Silk,Freeze,86181.395328,86181.395328,0.00011255329486233681
10.44,66.6,6.71,16.17,,Glass,Cool & Dry Place,4665.489839999999,4665.489839999999,0.0034658740142064063
98.76,31.17,78.62,17.56,,Silk,Room Temperature,242019.814104,242019.81410400002,7.255604283893123e-05
86.94,53.65,39.94,36.83,2026-01-16,Cotton,Away from Sunlight,186293.38014,186293.38014,0.00019769891969495724
47.12,69.37,137.34,12.4,,Wood,Refrigerated,448925.235696,448925.235696,2.7621525844443606e-05
